stream,department,job_role,company_level,company_name,company_locations,technologies
Engineering,CSE,Software Engineer,HIGH,Apple,Bangalore,"DSA,OOPS,Python,Java,Git"
Engineering,CSE,DevOps Engineer,HIGH,Netflix,Remote,"CI/CD,Docker,Kubernetes,AWS,Linux"
Engineering,ECE,Embedded Engineer,STARTUP,Sankalp Semiconductor,Hubli,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,STARTUP,Invecas,Hyderabad,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,STARTUP,Stellapps,Bangalore,
Engineering,ECE,Network Engineer,STARTUP,Tejas Networks,Bangalore,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,STARTUP,Saankhya Labs,Bangalore,
Engineering,ECE,Embedded Engineer,Mid,L&T Technology Services,Bangalore,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,Mid,Tata Elxsi,Bangalore,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,Mid,Bosch,Bangalore,
Engineering,ECE,Network Engineer,Mid,Cisco,Bangalore,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,Mid,Qualcomm,Hyderabad,
Engineering,ECE,Embedded Engineer,HIGH,Intel,Bangalore,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,HIGH,AMD,Bangalore,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,HIGH,Samsung R&D,Bangalore,
Engineering,ECE,Network Engineer,HIGH,Ericsson,Gurgaon,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,HIGH,NVIDIA,Pune,
Engineering,EEE,Electrical Engineer,STARTUP,Exicom,Gurgaon,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,STARTUP,Ampere Vehicles,Chennai,
Engineering,EEE,Control Systems Engineer,STARTUP,Gridbots,Ahmedabad,
Engineering,EEE,PLC Engineer,STARTUP,Addverb,Noida,
Engineering,EEE,Automation Engineer,STARTUP,Festo India,Bangalore,
Engineering,EEE,Electrical Engineer,Mid,ABB India,Bangalore,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,Mid,Schneider Electric,Bangalore,
Engineering,EEE,Control Systems Engineer,Mid,L&T,Mumbai,
Engineering,EEE,PLC Engineer,Mid,Siemens,Pune,
Engineering,EEE,Automation Engineer,Mid,Rockwell Automation,Bangalore,
Engineering,EEE,Electrical Engineer,HIGH,Hitachi Energy,Vadodara,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,HIGH,GE Power,Noida,
Engineering,EEE,Control Systems Engineer,HIGH,Honeywell,Bangalore,
Engineering,EEE,PLC Engineer,HIGH,Mitsubishi Electric,Pune,
Engineering,EEE,Automation Engineer,HIGH,Siemens Energy,Gurgaon,
Engineering,Mechanical,Design Engineer,STARTUP,Ather Energy,Bangalore,
Engineering,Mechanical,Production Engineer,STARTUP,Ola Electric,Bangalore,
Engineering,Mechanical,Manufacturing Engineer,STARTUP,TVS iQube,Chennai,
Engineering,Mechanical,Quality Engineer,STARTUP,ReNew Power,Gurgaon,
Engineering,Mechanical,Maintenance Engineer,STARTUP,BluSmart,Delhi,
Engineering,Mechanical,Design Engineer,Mid,TVS Motors,Chennai,
Engineering,Mechanical,Production Engineer,Mid,Ashok Leyland,Chennai,
Engineering,Mechanical,Manufacturing Engineer,Mid,Mahindra,Pune,
Engineering,Mechanical,Quality Engineer,Mid,Bosch,Bangalore,
Engineering,Mechanical,Maintenance Engineer,Mid,L&T Heavy Engineering,Hazira,
Engineering,Mechanical,Design Engineer,HIGH,Siemens,Pune,
Engineering,Mechanical,Production Engineer,HIGH,GE,Bangalore,
Engineering,Mechanical,Manufacturing Engineer,HIGH,Toyota,Bangalore,
Engineering,Mechanical,Quality Engineer,HIGH,Caterpillar,Chennai,
Engineering,Mechanical,Maintenance Engineer,HIGH,Shell,Bangalore,
Engineering,Civil,Site Engineer,STARTUP,Capacit'e Infraprojects,Mumbai,
Engineering,Civil,Structural Engineer,STARTUP,UrbanFrame,Bangalore,
Engineering,Civil,Planning Engineer,STARTUP,Brick&Bolt,Bangalore,
Engineering,Civil,Quantity Surveyor,STARTUP,Infra.Market,Mumbai,
Engineering,Civil,Construction Manager,STARTUP,Square Yards,Gurgaon,
Engineering,Civil,Site Engineer,Mid,Larsen & Toubro,Pan India,
Engineering,Civil,Structural Engineer,Mid,Shapoorji Pallonji,Mumbai,
Engineering,Civil,Planning Engineer,Mid,Afcons,Mumbai,
Engineering,Civil,Quantity Surveyor,Mid,Tata Projects,Hyderabad,
Engineering,Civil,Construction Manager,Mid,Sobha,Bangalore,
Engineering,Civil,Site Engineer,HIGH,AECOM,Gurgaon,
Engineering,Civil,Structural Engineer,HIGH,Jacobs,Bangalore,
Engineering,Civil,Planning Engineer,HIGH,Bechtel,Delhi,
Engineering,Civil,Quantity Surveyor,HIGH,Fluor,Gurgaon,
Engineering,Civil,Construction Manager,HIGH,Samsung C&T,Noida,
Medical,MBBS,Clinical Assistant,STARTUP,Mfine,Bangalore,
Medical,MBBS,Medical Officer,STARTUP,Practo,Bangalore,
Medical,MBBS,Junior Doctor,STARTUP,DocsApp,Bangalore,
Medical,MBBS,Resident Doctor,STARTUP,MediBuddy,Bangalore,
Medical,MBBS,Healthcare Analyst,STARTUP,HealthifyMe,Bangalore,
Medical,MBBS,Clinical Assistant,Mid,Apollo Hospitals,Chennai,
Medical,MBBS,Medical Officer,Mid,Fortis,Delhi,
Medical,MBBS,Junior Doctor,Mid,Manipal Hospitals,Bangalore,
Medical,MBBS,Resident Doctor,Mid,Aster DM,Hyderabad,
Medical,MBBS,Healthcare Analyst,Mid,Max Healthcare,Delhi,
Medical,MBBS,Clinical Assistant,HIGH,AIIMS,Delhi,
Medical,MBBS,Medical Officer,HIGH,Medanta,Gurgaon,
Medical,MBBS,Junior Doctor,HIGH,CMC Vellore,Vellore,
Medical,MBBS,Resident Doctor,HIGH,Johns Hopkins India,Hyderabad,
Medical,MBBS,Healthcare Analyst,HIGH,WHO India,Delhi,
Medical,Nursing,Staff Nurse,STARTUP,Portea,Bangalore,
Medical,Nursing,Clinical Nurse,STARTUP,Care24,Mumbai,
Medical,Nursing,Nursing Assistant,STARTUP,HealthCare atHOME,Delhi,
Medical,Nursing,Home Care Nurse,STARTUP,Nightingales,Bangalore,
Medical,Nursing,ICU Nurse,STARTUP,Apollo HomeCare,Chennai,
Medical,Nursing,Staff Nurse,Mid,Apollo Hospitals,Chennai,
Medical,Nursing,Clinical Nurse,Mid,Fortis,Delhi,
Medical,Nursing,Nursing Assistant,Mid,Manipal Hospitals,Bangalore,
Medical,Nursing,Home Care Nurse,Mid,Aster DM,Hyderabad,
Medical,Nursing,ICU Nurse,Mid,Max Healthcare,Delhi,
Medical,Nursing,Staff Nurse,HIGH,AIIMS,Delhi,
Medical,Nursing,Clinical Nurse,HIGH,CMC Vellore,Vellore,
Medical,Nursing,Nursing Assistant,HIGH,Johns Hopkins India,Hyderabad,
Medical,Nursing,Home Care Nurse,HIGH,Mayo Clinic India,Chennai,
Medical,Nursing,ICU Nurse,HIGH,WHO India,Delhi,
Medical,Physiotherapy,Physiotherapist,STARTUP,Physis,Bangalore,
Medical,Physiotherapy,Rehab Specialist,STARTUP,FitMe,Bangalore,
Medical,Physiotherapy,Sports Therapist,STARTUP,Cult Fit,Bangalore,
Medical,Physiotherapy,Orthopedic Assistant,STARTUP,Cure.fit Rehab,Bangalore,
Medical,Physiotherapy,Clinical Physiotherapist,STARTUP,Healthify Physio,Bangalore,
Medical,Physiotherapy,Physiotherapist,Mid,Apollo Hospitals,Chennai,
Medical,Physiotherapy,Rehab Specialist,Mid,Fortis,Delhi,
Medical,Physiotherapy,Sports Therapist,Mid,Manipal Hospitals,Bangalore,
Medical,Physiotherapy,Orthopedic Assistant,Mid,Aster DM,Hyderabad,
Medical,Physiotherapy,Clinical Physiotherapist,Mid,Max Healthcare,Delhi,
Medical,Physiotherapy,Physiotherapist,HIGH,AIIMS,Delhi,
Medical,Physiotherapy,Rehab Specialist,HIGH,CMC Vellore,Vellore,
Medical,Physiotherapy,Sports Therapist,HIGH,Olympic Rehab India,Delhi,
Medical,Physiotherapy,Orthopedic Assistant,HIGH,Johns Hopkins India,Hyderabad,
Medical,Physiotherapy,Clinical Physiotherapist,HIGH,WHO India,Delhi,
Pharma,B.Pharmacy,Drug Safety Associate,STARTUP,PharmaStart,Bangalore,
Pharma,B.Pharmacy,Medical Coder,STARTUP,CorroHealth,Hyderabad,
Pharma,B.Pharmacy,Quality Analyst,Mid,Cipla,Mumbai,
Pharma,B.Pharmacy,Production Chemist,Mid,Dr Reddy’s,Hyderabad,
Pharma,B.Pharmacy,Regulatory Affairs,HIGH,Sun Pharma,Mumbai,
Pharma,M.Pharmacy,Clinical Research Associate,STARTUP,IQVIA Start,Bangalore,
Pharma,M.Pharmacy,Formulation Scientist,STARTUP,PharmaNest,Hyderabad,
Pharma,M.Pharmacy,Research Scientist,Mid,Aurobindo,Hyderabad,
Pharma,M.Pharmacy,Drug Safety Officer,Mid,Pfizer,Chennai,
Pharma,M.Pharmacy,Clinical Trial Manager,HIGH,Novartis,Hyderabad,
Pharma,D.Pharmacy,Pharmacist,STARTUP,MedPlus,Hyderabad,
Pharma,D.Pharmacy,Hospital Pharmacist,STARTUP,Apollo Pharmacy,Chennai,
Pharma,D.Pharmacy,Retail Pharmacist,Mid,1mg,Bangalore,
Pharma,D.Pharmacy,Dispensing Pharmacist,Mid,NetMeds,Chennai,
Pharma,D.Pharmacy,Senior Pharmacist,HIGH,WHO Pharma,Delhi,
UG,B.A,Content Writer,STARTUP,Pepper Content,Mumbai,
UG,B.A,HR Executive,STARTUP,HirePro,Bangalore,
UG,B.A,Public Relations Officer,Mid,Adfactors,Mumbai,
UG,B.A,Social Media Manager,Mid,Social Beat,Bangalore,
UG,B.A,Policy Analyst,HIGH,NITI Aayog,Delhi,
UG,B.Sc,Lab Technician,STARTUP,Neuberg,Chennai,
UG,B.Sc,Research Assistant,STARTUP,SciGenom,Bangalore,
UG,B.Sc,Data Analyst,Mid,Accenture,Hyderabad,"Python,SQL,Excel,Power BI,Tableau"
UG,B.Sc,Quality Analyst,Mid,Biocon,Bangalore,
UG,B.Sc,Scientist,HIGH,ISRO,Bangalore,
UG,B.Com,Accounts Executive,STARTUP,Khatabook,Bangalore,
UG,B.Com,Audit Assistant,STARTUP,ClearTax,Bangalore,
UG,B.Com,Financial Analyst,Mid,Deloitte,Hyderabad,
UG,B.Com,Tax Consultant,Mid,EY,Mumbai,
UG,B.Com,Chartered Accountant,HIGH,KPMG,Delhi,
PG,M.Sc,Research Scientist,STARTUP,SciLabs,Bangalore,
PG,M.Sc,Data Scientist,STARTUP,DataBricks India,Bangalore,"Python,Statistics,Pandas,Machine Learning,SQL"
PG,M.Sc,Analyst,Mid,IBM,Bangalore,
PG,M.Sc,Bioinformatician,Mid,MedGenome,Bangalore,
PG,M.Sc,Senior Scientist,HIGH,CSIR,Delhi,
PG,M.Tech,R&D Engineer,STARTUP,DeepTech Labs,Hyderabad,
PG,M.Tech,AI Engineer,STARTUP,AIWorks,Bangalore,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
PG,M.Tech,Software Architect,Mid,Infosys,Bangalore,"System Design,Microservices,Cloud Architecture,AWS,Java"
PG,M.Tech,Systems Engineer,Mid,Qualcomm,Hyderabad,
PG,M.Tech,Principal Engineer,HIGH,Intel,Bangalore,
PG,MBA,Business Analyst,STARTUP,StrategyHub,Bangalore,
PG,MBA,Product Manager,STARTUP,Zomato,Gurgaon,
PG,MBA,Management Consultant,Mid,Accenture,Mumbai,
PG,MBA,Operations Manager,Mid,Flipkart,Bangalore,
PG,MBA,Strategy Manager,HIGH,BCG,Delhi,
PG,MCA,Software Developer,STARTUP,CodeCraft,Bangalore,
PG,MCA,Web Developer,STARTUP,WebEngage,Bangalore,
PG,MCA,Application Developer,Mid,TCS,Hyderabad,
PG,MCA,System Analyst,Mid,Wipro,Bangalore,
PG,MCA,Technical Lead,HIGH,Google,Bangalore,
